levelId,seed,status,mutationsAttempted,mutationsAccepted,bestPenalty,reason
P5R_Ten_001,20260919,Success,0,0,0,""
P5R_Ten_002,20260919,Success,9520,253,0,""
P5R_Ten_003,20260919,Success,9867,366,0,""
P5R_Ten_004,20260919,Success,5347,229,0,""
P5R_Ten_005,20260919,Success,4345,160,0,""
P5R_Ten_006,20260919,Success,10462,358,0,""
P5R_Ten_007,20260919,Success,9284,328,0,""
P5R_Ten_008,20260919,Success,7732,184,0,""
P5R_Ten_009,20260919,Success,4780,174,0,""
P5R_Ten_010,20260919,Success,6908,310,0,""
